Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика, исполнителя), подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
223-ФЗ;№32515037205;Прочие;право заключения договора на оказание услуг по комплексному информационному сопровождению деятельности ПАО «Россети Юг» в СМИ и иных медиаресурсах;;;1;Услуги по комплексному информационному сопровождению деятельности ПАО «Россети Юг» в СМИ и иных медиаресурсах;28800000.00;RUB;;;;;63.9: Услуги информационные прочие;63.9: Услуги информационные прочие;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССЕТИ ЮГ""";;14.07.2025;14.07.2025;Подача заявок;;14.07.2025;30.07.2025;
223-ФЗ;№32515027950;Закупка у единственного поставщика (подрядчика, исполнителя);сопровождение экземпляров систем;;;1;сопровождение экземпляров систем;118620.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""МОЗДОКСКИЙ МЕХАНИКО-ТЕХНОЛОГИЧЕСКИЙ ТЕХНИКУМ""";;10.07.2025;10.07.2025;Закупка завершена;;10.07.2025;;
223-ФЗ;№32515009284;Прочие;Передача неисключительного права пользования Лицензией на платформу Elpub, включая техническую поддержку к Программе, находящейся на Сервере «НЭИКОН»;;;1; Передача неисключительного права пользования Лицензией на платформу Elpub, включая техническую поддержку к Программе, находящейся на Сервере «НЭИКОН»;138600.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ""СТРОИТЕЛЬСТВО""";;03.07.2025;03.07.2025;Закупка завершена;;03.07.2025;;
223-ФЗ;№32514962887;Прочие;Право использования программы Kaspersky Endpoint Security для бизнеса расширенный. Продление лицензии на 1 год;;;1;Право использования программы Kaspersky Endpoint Security для бизнеса расширенный. Продление лицензии на 1 год;127575.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЕКСИНЭНЕРГОСБЫТ""";;20.06.2025;20.06.2025;Закупка завершена;;20.06.2025;20.06.2025;
223-ФЗ;№32514958183;Закупка у единственного поставщика (подрядчика, исполнителя);поставка сертификата активации сервиса тех.поддержки ПАК ViPNet Coordinator HW 1000 4.x, сеть 4623;;;1;Поставка сертификата активации сервиса совместной технической поддержки ПАК ViPNet Coordinator HW1000 4.x (серийный номер 030-55157);134565.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""МНОГОФУНКЦИОНАЛЬНЫЙ ЦЕНТР ПРЕДОСТАВЛЕНИЯ ГОСУДАРСТВЕННЫХ И МУНИЦИПАЛЬНЫХ УСЛУГ ВОЛОДАРСКОГО РАЙОНА ГОРОДА БРЯНСКА""";;19.06.2025;19.06.2025;Закупка завершена;;19.06.2025;;
223-ФЗ;№32514946639;Прочие;Услуги по технической поддержке Бизнес-приложения Заказчика;;;1;Услуги по технической поддержке Бизнес-приложения Заказчика;851520.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕДИАСКОП""";;16.06.2025;16.06.2025;Закупка завершена;;16.06.2025;;
223-ФЗ;№32514941019;Прочие;"Приобретение права на использование программы для ЭВМ ""Платформа nanoCAD"", в рамках инвестиционного проекта ""Приобретение права на использование прикладного и серверного программного обеспечения"" (24-1-00-7-13-04-0-0350)";;;1;"Приобретение права на использование программы для ЭВМ ""Платформа nanoCAD"", в рамках инвестиционного проекта ""Приобретение права на использование прикладного и серверного программного обеспечения"" (24-1-00-7-13-04-0-0350)";2070816.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЛОЭСК-ЭЛЕКТРИЧЕСКИЕ СЕТИ САНКТ-ПЕТЕРБУРГА И ЛЕНИНГРАДСКОЙ ОБЛАСТИ""";;11.06.2025;16.06.2025;Закупка завершена;;11.06.2025;25.06.2025;
223-ФЗ;№32514877999;Запрос котировок в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;"№ 20 Поставка, адаптация и сопровождение экземпляров систем КонсультантПлюс для нужд АО ""ИКУР""";;;1;Поставка, адаптация и сопровождение экземпляров систем КонсультантПлюс;214958.52;RUB;;;;;"63.1: Услуги по обработке данных, размещению и взаимосвязанные услуги; порталы в информационно-коммуникационной сети Интернет";"63.1: Услуги по обработке данных, размещению и взаимосвязанные услуги; порталы в информационно-коммуникационной сети Интернет";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИПОТЕЧНАЯ КОРПОРАЦИЯ УДМУРТСКОЙ РЕСПУБЛИКИ""";;26.05.2025;26.05.2025;Закупка отменена;;26.05.2025;02.06.2025;
223-ФЗ;№32514866968;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Неисключительные права (простая неисключительная лицензия) использования базы данных - Электронная система «Госфинансы;;;1;Неисключительные права (простая неисключительная лицензия) использования базы данных - Электронная система «Госфинансы;216540.63;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ НАУКИ ИНСТИТУТ МИРОВОЙ ЛИТЕРАТУРЫ ИМ.А.М. ГОРЬКОГО РОССИЙСКОЙ АКАДЕМИИ НАУК;;22.05.2025;22.05.2025;Закупка отменена;;22.05.2025;08.06.2025;
223-ФЗ;№32514823982;Прочие;Расширение функционала КАМИС5 поставка ивнедрение модулей: «Реставрация музейных предметов» и «Мобильная проверканаличия (Мобильная сверка)» на базе системы КАМИС5»;;;1;Расширение функционала КАМИС5 поставка и внедрение модулей: «Реставрация музейных предметов» и «Мобильная проверка наличия (Мобильная сверка)» на базе системы КАМИС5» ;617800.00;RUB;;;;;"58.29: Услуги по изданию прочего программного обеспечения; 62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"58.29: Услуги по изданию прочего программного обеспечения; 62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ""ПРИМОРСКАЯ ГОСУДАРСТВЕННАЯ КАРТИННАЯ ГАЛЕРЕЯ""";;10.05.2025;10.05.2025;Закупка завершена;;10.05.2025;;
